destination_id,state_ut_name,state_ut_slug,destination_name,destination_slug,destination_type,country_code,latitude,longitude,description,tags,image_url,official_url,content_source,geo_source,source_confidence,last_synced_at
andaman-and-nicobar-islands--mayabunder,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Mayabunder,mayabunder,city_or_area,IN,12.7701746,92.8313119,"Plan your Mayabunder tour with our Mayabunder tourism guide and find best places to visit, popular sightseeing places, best tourist attractions and top things to do in Mayabunder city.",[],http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/mayabunder,incredible_india,nominatim,0.75,2026-04-02T12:17:26.306986+00:00
andaman-and-nicobar-islands--rangat,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Rangat,rangat,city_or_area,IN,12.503055555556,92.913333333333,"Visit Rangat and explore its beautiful tourist attractions. From stunning beaches to lush green forests, Rangat has something for everyone.","[""beach""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/rangat,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andaman-and-nicobar-islands--sri-vijaya-puram,Andaman and Nicobar Islands,andaman-and-nicobar-islands,Sri Vijaya Puram,sri-vijaya-puram,city_or_area,IN,11.666666666667,92.75,"Visit Sri Vijaya Puram and explore the best tourist attractions in India. From pristine beaches to historical monuments, there is something for everyone.","[""beach"", ""island"", ""mountains"", ""wildlife""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andaman-and-nicobar-islands/sri-vijaya-puram,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--amaravati,Andhra Pradesh,andhra-pradesh,Amaravati,amaravati,city_or_area,IN,16.5275,80.4681,"Explore the beautiful city of Amaravati in Andhra Pradesh. Discover its rich culture, vibrant festivals, stunning temples, and delicious cuisine.","[""spiritual""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/amaravati,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--anantapur,Andhra Pradesh,andhra-pradesh,Anantapur,anantapur,city_or_area,IN,14.68,77.6,"Discover the beauty of Anantpur and explore its stunning landscapes, historic monuments, and cultural attractions. Find the best places to visit and things to do in Anantpur, India.","[""heritage"", ""spiritual""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/anantapur,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--chittoor,Andhra Pradesh,andhra-pradesh,Chittoor,chittoor,city_or_area,IN,13.21622,79.0997,"Where Nature Whispers, Faith Breathes, and History Lives",[],http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/chittoor,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--guntur,Andhra Pradesh,andhra-pradesh,Guntur,guntur,city_or_area,IN,16.3,80.45,"Guntur is a city in the Indian state of Andhra Pradesh, known for its many tourist attractions and places to visit. From ancient temples to modern malls, Guntur has something for everyone.","[""adventure"", ""spiritual""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/guntur,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--kakinada,Andhra Pradesh,andhra-pradesh,Kakinada,kakinada,city_or_area,IN,16.933333333333,82.216666666667,"Plan your Kakinada tour with our Kakinada tourism guide and find best places to visit, popular sightseeing places, best tourist attractions and top things to do in Kakinada city.","[""beach""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/kakinada,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--kurnool,Andhra Pradesh,andhra-pradesh,Kurnool,kurnool,city_or_area,IN,15.83,78.05,"Discover the best tourist attractions in Kurnool, India. From historical monuments to natural wonders, explore the city's top sights and activities.","[""heritage"", ""nature"", ""wildlife""]",http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/kurnool,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
andhra-pradesh--machilipatnam,Andhra Pradesh,andhra-pradesh,Machilipatnam,machilipatnam,city_or_area,IN,16.166666666667,81.133333333333,,[],http://www.incredibleindia.gov.in/content/dam/incredible-india/images/global/incredible-india-og.png,https://www.incredibleindia.gov.in/en/andhra-pradesh/machilipatnam,incredible_india,wikidata,0.9,2026-04-02T12:17:26.306986+00:00
